epoch,batch,d_gan_loss,d_AU_loss,g_gan_loss,g_AU_loss,reconstr_loss,fid_joy,fid_sadness,fid_surprise,fid_contempt
10,0,-0.5382140999999999,0.4812304,0.95764816,0.38088843,0.027851585,26.21787292805289,30.557902982106185,39.51154728877657,29.447419698217892
10,1000,-0.5978754,0.47410023,0.77801776,0.30885068,0.02887462,25.41260070805959,30.39800304005138,43.105516760974005,31.235382241406484
10,2000,-0.41824752,0.4929363000000001,0.4211404,0.39968303,0.028966969,24.443530846825922,28.164350365851607,37.40034337905075,28.83954990818799
10,3000,-0.5204075,0.48806235,0.59878886,0.3108627,0.029730245,23.645668686259647,28.466781713544265,36.49149862397093,25.725337052462567
10,4000,-0.24398088,0.52353543,0.50895274,0.3422963,0.030328212,29.17966053471633,32.70063905710538,39.778428054836695,34.61327688992546
11,0,-0.23803797,0.46777114,0.26135305,0.34123147,0.03069434,22.998736111507412,28.225203991359194,37.355271787267135,26.185342142014388
11,1000,-0.46571457,0.49946105,1.1123035,0.31114018,0.028932331000000002,24.47227278839441,29.014484429433328,39.752679615002044,29.207334081104463
11,2000,-0.77137446,0.48930067,0.59394497,0.33415267,0.031615502999999996,27.699417718408927,50.75050983326938,42.10518031777673,27.07765902017323
11,3000,-0.45968726,0.49110934,0.3305598,0.3215691,0.03592944,26.35035434090088,32.960716352603605,42.90774433060557,31.813865153141087
11,4000,-0.5696175,0.4969902,0.21581104,0.32823333,0.026945136,26.15046558371867,28.492908193996445,41.81226012937498,30.47120592653687
12,0,-0.5782189,0.5117835000000001,-0.14783883,0.35472596,0.037901755,25.513525942987197,29.679382703401647,42.62619602284417,28.728006704424416
12,1000,-0.27223295,0.47248152,-0.37145627,0.38328722,0.028615436,25.869966431761355,29.23265389606678,41.82783309009165,29.41516526425625
12,2000,-0.49332744,0.517417,-0.42873776,0.31406996,0.035315096000000004,32.2592446161368,47.31310778636279,57.68982072749876,33.37020239331315
12,3000,-0.27127254,0.46108204,-0.50818855,0.3033099,0.026995618,24.447062806624107,27.869719384878863,38.32102432693179,26.845709863762593
12,4000,-0.4856028,0.45334179999999996,0.33511916,0.28219974,0.032866683,26.020405537287644,30.765464696192023,39.40444346339083,29.34701130939968
13,0,-0.5773233,0.43048406,0.58794796,0.35192540000000005,0.03088204,27.09170673574087,30.31020424730093,40.346208456065995,30.351138733714514
13,1000,-0.26387194,0.45418003,0.45448178,0.32567704,0.026972622,22.3860471001301,24.893120798481675,33.58915184242528,25.95647038200389
13,2000,-0.50848746,0.46539503,1.3609741000000002,0.30515042,0.038882446,22.669327669076523,30.60277240367907,34.50980724596724,25.759237292364148
13,3000,-0.41446507,0.4565037,1.315403,0.30558896,0.027158388999999998,26.0051060399189,27.636125226669666,35.50104057921658,28.80993369624463
13,4000,-0.5258765000000001,0.4758929,1.2114393,0.28614882,0.026317257,24.48501209184525,25.8181345101122,36.78691143332685,27.515314466217518
14,0,-0.11592525,0.5157533,1.0653867,0.29566538,0.02940269,25.405516261997718,31.040400492543203,38.25397204179663,28.91889852001566
14,1000,-0.33797175,0.48981267,-0.23337789,0.32312763,0.03600826,26.472859358814873,41.84768999135633,53.22630959661487,29.985308286014856
14,2000,-0.37437946,0.49090043,0.35682902,0.35533047,0.026303922999999996,21.54667458473012,27.388720208607936,35.86790118171308,23.680010813730828
14,3000,-0.5906389,0.4757433,0.83410877,0.27601275,0.026351864,20.20956733938047,25.30210234476681,31.07384803815637,22.62474537362669
14,4000,-0.68005526,0.51084673,0.6663699000000001,0.30140528,0.027582392,23.57124784811677,25.955475466047073,35.744755135113394,27.35338227353516
15,0,-0.5832969,0.47653076,1.0068610999999998,0.33105534,0.029543974,23.98731329634825,29.344382357397624,39.573940301638906,25.5801946559628
15,1000,-0.69998515,0.44416007,0.8053703000000001,0.27211493,0.027178893,22.72724094567116,24.98907201679373,33.54321097773584,25.682426097503573
15,0,-0.6585637,0.5242359000000001,0.93294036,0.31095856,0.024878133,22.38635386379099,24.717347899485787,32.60902089656557,25.21353440324637
15,1000,-0.69297636,0.48768425,1.2493067,0.26919207,0.028322136,22.555341687591014,26.115223227152,34.556934122287394,26.19122600386257
15,2000,-0.6324191,0.5129395999999999,1.1948702,0.26381284,0.033185255,24.41976270539834,29.18662302966792,37.37411029915364,29.98522850426189
15,3000,-0.69231784,0.4876741,0.6454094,0.31081328,0.027989157,21.37976505484588,23.263330565560693,32.65940687290501,24.06846419654511
15,4000,-0.63538635,0.47658044,0.970413,0.27987498,0.026588816,21.397580166298106,24.95217004997562,33.72167459144947,24.75464405865429
16,0,-0.78439593,0.47077432,0.6500108,0.3112509,0.03809112,24.036350512844248,27.33277549591261,36.016051807539554,28.883780912347607
16,1000,-0.65416014,0.46930128,0.79574907,0.2898176,0.02700406,24.154859861029312,26.434615770879702,33.51931108592092,28.43588056701799
16,2000,-0.8760790999999999,0.44492543,1.2174131,0.26579654,0.025614701,20.177671421994347,22.365606087670187,30.953443408539812,23.541044701408964
16,3000,-0.84204394,0.48401648,0.6784169,0.2785608,0.03302607,20.08148091892528,24.367708893264705,30.950650348629487,24.688605681180178
16,4000,-0.90165997,0.49647263,1.1954908000000002,0.25906113,0.02828325,21.24609686726808,25.02869832178009,33.449956134265,24.51028434834234
17,0,-0.6284671,0.47378394,0.74401444,0.26097992,0.026797097,18.873653162513506,22.752532217534732,29.968559138581924,21.54966723459221
17,1000,-0.79944265,0.46088603,0.76665705,0.26056078,0.025411235,21.63621323813245,24.953311024368965,33.439415378615706,26.17704216347757
17,2000,-0.59796995,0.48703256,0.7034676,0.26840734,0.026804382,19.628149190653343,22.495084116623445,31.93740252766796,22.163419735310068
17,3000,-0.6407395,0.48609376,0.6157279999999999,0.2617495,0.027223483,20.577813098401553,22.222217506194085,27.928077401651365,23.38302595540472
17,4000,-0.80524,0.43973568,0.5384536,0.24019785,0.025691781,19.84253518245461,26.94923839945096,31.72929396076336,22.432768934364134
18,0,-1.001968,0.46301213,0.3833668,0.25772223,0.025199883,19.7256093090478,23.07726587313169,29.51478918766545,21.93599465061904
18,1000,-0.87551993,0.48565045,0.43835378,0.27466157,0.025628764,19.739903920136555,22.574478367799145,32.25977164080703,22.263448320126546
18,2000,-0.7914142,0.4748515,0.085161895,0.2376344,0.026108244,19.549071169299225,23.437900053762288,33.697965225399685,22.56213428938284
18,3000,-0.8812867,0.50199497,0.49379838,0.24268262,0.025112681,18.90108947083596,22.16876246590374,31.19703938412704,20.75010412586414
18,4000,-0.64197767,0.45568326,0.32525048,0.24829826,0.024971848,20.280256589705036,22.676214779195213,31.911904328375392,22.7143090977288
19,0,-0.8432361999999999,0.43040898,0.12995471,0.2802447,0.027132291,20.45963444017747,22.887825943113604,31.13000753878953,23.01552036945629
19,1000,-0.8814219000000001,0.44035193,0.3889385,0.26664892,0.026563073,20.423946554320167,22.706100573138656,33.037855444251505,22.536230311279354
19,2000,-1.0057874,0.4733593,0.33700275,0.22067185,0.026953276,19.27759894977569,25.2095287893022,32.358743618213246,21.12041249178219
19,3000,-0.68634343,0.46665376,0.41733748,0.25040492,0.03925374,20.21928024280723,26.230553979963673,33.78066575405458,22.049182571375237
19,4000,-0.8803267,0.46814474,0.15550123,0.24475546,0.026083127,19.989534434450746,27.073654106646927,31.147209871237806,21.33071039578951
20,0,-0.9612029,0.4272014,0.38807848,0.23233993,0.024065284,19.31014222477401,21.2136248759964,28.592717303789808,21.609456888880487
20,1000,-0.966605,0.4618906,0.23027599,0.20108911,0.024727877,18.422317252312386,21.50162502889913,32.574528240269274,20.83309051706081
20,2000,-0.81704366,0.45342395,-0.14607121,0.32854208,0.024480095,18.982367016099037,24.609882872915392,35.08996201178772,20.947837073022896
20,3000,-0.97416556,0.4601887,-0.06199615400000001,0.17249838,0.028897937,19.79262670038338,22.86556839574513,29.157665943462405,22.903959256481727
20,4000,-0.8651366,0.47270977,0.2150723,0.20811856,0.025823826,19.772728575920784,21.67964407757421,27.723251205891557,23.085322092063393
21,0,-0.87341094,0.44004208,0.38346958,0.20980886,0.02511996,18.68363695382925,21.7729367601728,27.314696365334463,21.949648305793577
21,1000,-0.9258129,0.46538225,0.47241646,0.1765371,0.024460176,19.26897373848314,21.302362626405934,29.46762595620985,21.553842827341327
21,2000,-1.0890824,0.4572035,0.3949127,0.20413773,0.026104415,17.614006819686093,21.15261126046579,28.43762623003011,19.549186211911174
21,3000,-0.98004633,0.46276432,-0.071936786,0.1990723,0.027243935,18.83456418892638,22.18494570795741,27.752063210272183,20.893118962625607
21,4000,-1.058115,0.4525067,0.43177754,0.19450432,0.02472865,18.511650602137564,21.215585047931143,30.54416603243732,20.416166389210986
22,0,-0.8526433000000001,0.45832416,0.1442082,0.23587297,0.02746799,19.291972923375933,21.46546884501447,28.831933447047906,21.203003606695408
22,1000,-0.8411805,0.41364294,-0.30825362,0.19546089,0.025930027,19.627708491042245,24.19265538109357,31.146611083501448,21.159415086498285
22,2000,-0.9083503,0.4735686,0.23840383,0.1587397,0.029768825,19.776982200718773,21.969219921858297,29.556481728129626,22.229024417533026
22,3000,-0.9384104,0.3941173,0.04161583,0.16646346,0.024458881,19.59478763780902,21.922111170768666,29.557016688123298,21.682590693043775
22,4000,-1.0097423,0.41638464,-0.015357569,0.15000084,0.028738122,21.328198990432305,22.79683007418919,30.29269385786443,23.46925753225748
23,0,-1.0167046999999998,0.38064098,0.07135345,0.20608257,0.026171565,19.92582084477596,21.72898584461672,28.38120329938306,22.086403956067414
23,1000,-0.81398875,0.3987398,0.20312485,0.17221762,0.024920214,18.30114184716581,20.785837554651717,26.95795564159596,19.574255879847808
23,2000,-0.9489763,0.39992365,-0.038160466,0.15731274,0.02853741,18.885919709398195,20.94414649413364,25.91927756644269,20.75905532702859
23,3000,-0.93212664,0.39031443,-0.063063055,0.17313093,0.025271112,19.923521187242017,21.97854309387984,29.896858540571685,20.716535395181264
23,4000,-0.9627034,0.4041827,-0.21493521,0.14976393,0.024610186000000003,18.552489796373774,20.9575123893244,27.499533967442915,20.22895499901057
24,0,-0.18267071,0.41895935,-0.15191951,0.15059163,0.027006758,19.196245065497237,22.693391365858588,28.70124007617301,20.12029643688629
24,1000,-0.89460975,0.4006585,-0.3776117,0.19673853,0.02747419,20.32056300822908,22.34003130691001,29.54529987618727,20.94823125474453
24,2000,-0.9442393,0.42046332,0.07021964,0.20872177,0.024543483,19.817161870050573,21.76754505878182,27.770153677993363,21.17259298383263
24,3000,-0.9778197,0.39548457,-0.19348814,0.138968,0.02483106,19.313465121242963,21.336281616840182,26.159490031241322,20.688905748774715
24,4000,-1.1231645,0.43650836,-0.03737527,0.15459782,0.02564702,18.67353463415537,20.78128962307406,29.11544556778625,19.677491661703986
25,0,-1.033398,0.39655086,0.21842942,0.16569556,0.026000837,19.8381570750405,21.585860452489896,27.816961838871432,20.947190941550158
25,1000,-1.0145093,0.3858888,0.17302051,0.13476798,0.025528206,19.201146852422315,21.18343225136934,28.415074627934107,20.612203579389245
25,2000,-0.99834263,0.38231373,-0.39639688,0.1531819,0.025093634,18.118175059803573,21.6367565534795,26.578005734080364,18.94953315175408
25,3000,-0.5578923000000001,0.5027476,-1.3122766,0.16082464,0.026138933,20.29110315477513,25.496673458198305,31.966235162129262,20.07172624603311
25,4000,-0.97353417,0.41909102,-0.026807444,0.15157643,0.025795039,19.44113236845345,20.94776300484369,26.830375425931486,20.605041772374822
26,0,-1.0825919,0.392195,0.014777304,0.14727436,0.028352225,19.446909580219053,21.458122417506964,28.746544630760326,20.20252947059413
26,1000,-0.7932646,0.49360028,-0.82988936,0.17051089,0.034917474,55.50032962712054,80.7296041438432,94.97688551668199,50.94852229477869
26,2000,-0.75249195,0.4155454000000001,-0.77332777,0.13988206,0.027252315,27.05014380519649,32.708808680136514,43.288552499002435,26.419006876062056
26,3000,-0.6615691999999999,0.33539128,-0.21317333,0.12911059,0.030488523,24.75231768713212,27.02513235936749,38.02518427723837,24.76400420341673
26,4000,-0.785558,0.36317778,-0.028143326,0.11088558,0.030224355,22.79832933187436,25.920158512721628,35.54984742039295,23.061451574673786
27,0,-0.6713667,0.36001492,-0.13982588,0.12140913,0.02732616,21.89669322384657,24.988542606202262,34.98218741568945,21.821577237744695
27,1000,-0.8633854,0.38961238,0.104313254,0.11558857,0.027528737,21.767432061633453,25.31087014622869,34.82994138885735,21.68521680763993
27,2000,-0.9506001,0.3666043,0.094716236,0.09651141,0.027471893,20.658267082418085,23.3271677631752,32.70664634881712,20.79901529115881
27,3000,-0.9985765,0.41086677,0.120108716,0.10442842,0.027737185,22.06568106039327,23.479323404416622,29.35472425460861,21.968898757994147
27,4000,-0.85814726,0.34730974,0.34111238,0.13104652,0.02748065,21.346469010444835,23.434053089973418,30.296379655095574,21.367476236135488
28,0,-0.7957201,0.33908975,0.30690113,0.098400995,0.026370155,22.29908189895741,23.01627050116537,30.756728537419228,21.269620994726978
28,1000,-1.1459032,0.42191672,0.03921129,0.08727073,0.025070606,20.709980578506105,22.3655004039542,28.16389521142574,20.63290027761653
28,2000,-0.9358947,0.37231204,-0.12535885,0.11144078,0.027117586000000003,20.44743190377523,22.100977664802198,28.36183104981609,20.5295376909736
28,0,-1.0566441,0.3584658,-0.13206264,0.10259313,0.024632642000000003,20.537664897238983,22.629019098262404,27.505593319367502,20.78937230992765
28,1000,-1.0857476000000001,0.40174788,0.02140792,0.08363463,0.027416509,19.51853381193095,22.075864218388627,28.790700094716808,19.73062349793668
28,2000,-1.0166148000000002,0.34137735,0.027058667,0.08451876,0.026110317999999997,20.36351969731893,22.224012900194307,27.919960148096088,20.4147733768242
28,3000,-0.5559049,0.36599097,-0.09746202,0.10898698,0.025673999,18.30582422257996,21.320544614392873,26.506006889818426,18.380272278390265
28,4000,-1.0459664,0.34915805,0.36282802,0.08601219,0.025763933,19.09271189449436,21.09644834589417,28.237306428304358,19.225363924730143
29,0,-1.0961589,0.36294994,0.30554733,0.10948724,0.02611506,19.070139001299168,21.34410734334307,28.172145907067065,19.620214725622045
29,1000,-1.1150537,0.32617983,-0.073647104,0.10017766,0.026039831,20.214138708106248,22.41531853338182,27.857724444270055,20.262502415224414
29,2000,-1.1147732,0.34325528,0.3142104,0.10299296,0.025241458999999997,18.968187014515244,21.340615819357826,25.98175113268323,19.324993428720347
29,3000,-1.0979518999999998,0.32367490000000004,0.20026667,0.09449348,0.025277145,18.5140749907232,20.89831809870986,27.53954118833218,18.832731391465327
29,4000,-1.0191481,0.29782352,0.01590453,0.106554314,0.026668156000000002,19.619516948917404,22.234944285230032,27.898917257099672,20.051550713654173
30,0,-0.999525,0.32421762,-0.08222873,0.07825485,0.026009709,19.001777778743985,21.963623246087565,27.53687059647584,19.363917405888373
30,1000,-1.0245948,0.35190248,-0.04030624,0.092286535,0.02363673,19.265809898395506,22.27744813526021,26.08951854321505,19.850727932841718
30,2000,-0.9267741,0.34053364,1.0175698,0.0839997,0.026578339,19.647276459255266,21.7970528098939,29.68913691718825,19.55176389446615
30,3000,-0.9863233,0.35626185,0.4159282999999999,0.09271437,0.026285546,18.230824955893237,21.209588044288093,25.04372419673936,18.680437812867325
30,4000,-1.0433185999999999,0.2931507,0.4551662,0.09243662,0.02503998,18.313357251874148,20.564366743801997,26.03180404891961,18.29621073887941
31,0,-0.9604732,0.35731232,0.30720526,0.09095573,0.025311822,17.97018935933997,21.045918764955246,25.685619231390604,17.75346204639783
31,1000,-1.0581561000000002,0.3821947,0.44007877,0.10187416,0.025416832,18.979149381396326,21.040292539270922,28.67682537701293,19.662772521502628
31,2000,-1.0989829,0.29737884,0.83046556,0.07772953,0.025560506,18.66872694605695,21.39073915093863,28.66854855201049,19.30425632432903
31,3000,-0.93107843,0.34626868,0.880866,0.092586435,0.024418646000000002,19.423212514959886,21.034301674664725,28.259403142690616,20.50752345778278
31,4000,-1.0748783000000002,0.27079257,0.10335479,0.09686953599999999,0.025643082,19.210862400390056,22.328202709005495,27.560554015084108,19.74693629884078
32,0,-0.9338171000000001,0.31006476,-0.15181261,0.080639586,0.026411014,18.854115222596306,21.24047322901424,27.08739141284255,18.975516444028585
32,1000,-1.0439346,0.26337940000000004,0.34721118,0.09411216,0.026644986000000002,19.238055165436435,20.892249680536427,26.665578129101053,19.676042369456184
32,2000,-1.1016629,0.33132103,0.23806448,0.06885981,0.03819572,23.8400875026276,26.73903457318159,36.271192076730564,23.41870376137075
32,3000,-1.014062,0.36106277,0.11519597,0.080048986,0.02578712,19.01404401539014,22.05457685529475,27.30907331661735,19.040170639621294
32,4000,-0.94948524,0.30291444,0.18079183,0.084657304,0.023932982000000002,19.22010757405968,21.813712410639482,28.95798956952413,19.56661983002411
33,0,-1.0408156,0.27769083,-0.084689945,0.07681677,0.024065042000000002,18.55766222419021,20.74202456032481,27.204860335286533,18.701780989347924
33,1000,-0.9694513000000001,0.3032478,0.07652056,0.06930072,0.024900327000000003,18.199820519233867,21.59329810965221,26.197435768287484,18.804929039371647
33,2000,-1.0728594999999999,0.27523065,-0.4949339,0.1654712,0.024715044,19.11617345827807,21.17229008840824,27.11807932896653,19.12631464541363
33,3000,-1.1336853999999998,0.27271587,0.0024940372,0.05599351599999999,0.025415836,18.449425767948355,21.61026485922025,28.40238994838677,19.351100143018073
33,4000,-1.0822577,0.33490264,0.11867758,0.0691574,0.025672292000000003,17.06180560717658,20.293111335884788,24.686262587766947,17.895262462779726
34,0,-0.94601566,0.33737248,0.13020688,0.08104081,0.02418732,17.806795623159985,22.057284644649513,26.35893651633299,18.898999476395744
34,1000,-1.0332550999999999,0.32177392,-0.017288022,0.062401954,0.024874486,19.187473490057787,21.43618370236399,26.447210295904426,19.33810091530546
34,2000,-1.0397447,0.28887376,0.32181809999999994,0.062721476,0.026227454,17.596610378091928,20.92367392217642,25.628127713742913,17.988232431981768
34,3000,-0.99021137,0.24925467,0.21187562,0.060406096,0.026955977000000002,19.756533102514027,22.32870515203578,28.31972470897304,19.722147821251205
34,4000,-0.9170741,0.2708576,0.55338526,0.072723895,0.024377454,19.286903141409113,21.93219692472394,28.399517882098,19.992020246822875
35,0,-0.82889795,0.29079970000000005,0.47250468,0.07323982,0.027617779,17.63678907647201,21.504739479862,24.62060690145305,18.06428501852881
35,1000,-0.89554656,0.23473078,-0.26058972,0.06384314,0.026295022999999997,20.900856011938746,22.25414645286361,27.671795639283662,21.091634592240947
35,2000,-0.916594,0.22488767,0.49318781,0.048843686,0.028600395,20.12397547973825,22.172372709401998,28.16742568467145,20.084150964185255
35,3000,-0.95118314,0.22373560000000006,0.16331327,0.046798054000000006,0.024374063999999997,18.754476995680026,21.9539763641464,28.076403825661092,19.067875118573934
35,4000,-1.0549467,0.24180558,0.16141429999999998,0.039524402,0.02501853,19.442978516367425,21.642941283962358,28.474435958185268,19.44489834310676
36,0,-0.9022998,0.21702963,0.28844246,0.06111958,0.025947446000000002,19.390117848277388,21.856993057020134,27.819093428728532,19.705753953647413
36,1000,-0.77464235,0.22137880000000001,0.35781515,0.04497555,0.023864165,18.1119997900245,20.935839487454814,25.844747902601426,18.775196042593137
36,2000,-0.9833274999999999,0.235512,0.2319795,0.04097888,0.030290555,18.140478775119,20.89592676969485,25.14050626576173,18.232153739593
36,3000,-0.791944,0.24326804,0.3951227000000001,0.061809475999999995,0.025696626,19.700789654692873,21.77570292031681,27.55904901821645,19.673342681113752
36,4000,-0.83093023,0.23925225,0.13886917,0.04188121,0.024145825,18.402098070369327,20.908920017824187,27.639833136438256,19.2487871923762
37,0,-0.64741385,0.22550297,-0.219067,0.061377499999999995,0.028866664,23.259405844435353,25.570263606983207,30.62018967276111,21.26147121798161
37,1000,-0.9617316999999999,0.23994580000000001,0.25496292,0.06736844,0.02800907,19.029435908546244,21.605663319438943,27.02324305601624,19.326250838926338
37,2000,-0.9592510000000001,0.27791423,0.12576395,0.08436169,0.02442331,18.90667621895915,21.327384129958826,26.602207952152924,19.23094187517873
